USAF	WBAN	Temperature	Precipitation	WindSpeed	Humidity	City	YRMODAHRMN
221958	28030	82.53044855047321	35.87155254170135	3.5024628026070648	59.25127256499061	Stockholm	201801010926
771155	92838	60.01663552271602	80.4437207679505	13.455292288249334	75.76300694565701	Stockholm	201801020720
231932	94717	76.49011720544159	27.875987241455302	4.410085268712942	99.7440671230794	Stockholm	201801030828
465838	65658	46.741269605637854	21.070496386720315	4.364150691043445	66.11573677939323	Stockholm	201801041432
359178	48638	51.12291405770602	95.74480190380962	17.481435466103704	95.24148404671718	Stockholm	201801052236
744167	77067	49.196953778498255	0.88632851134689	4.993379054804603	60.701010395473965	Stockholm	201801061435
210268	98869	62.01422654331951	99.7820855681978	5.264946930360224	43.283962415499154	Stockholm	201801071827
832180	44674	24.054890342454527	67.68212988573956	0.013067815225991	52.25452638210573	Stockholm	201801080922
154886	45854	16.15809847083281	82.84692994491171	17.413380682510354	65.12170859966105	Stockholm	201801090104
237337	56271	36.17095579456575	29.46193963461932	15.851896264182695	53.17809571567414	Stockholm	201801101754
621430	83688	64.73701491703856	1.4315277667059978	12.54657870181356	40.01362229309533	Stockholm	201801110541
187498	48518	28.53344855285228	73.78695185615301	15.005315278776845	94.90009226485164	Stockholm	201801121422
999159	20267	62.48713519939405	83.41445970006758	3.040971348489836	90.63276467385576	Stockholm	201801130812
275203	11062	83.83366731972347	74.04761319535191	9.16647189175151	84.53753388921683	Stockholm	201801141724
291335	60448	20.760851536838125	14.28502873008386	7.024387746975618	50.06887573876172	Stockholm	201801150601
378167	16229	62.42735251220908	75.34279222569691	1.8755305251403296	47.221814572599165	Stockholm	201801161557
141090	66793	45.95001578992912	76.8922782107641	9.72260970429848	44.05628496834299	Stockholm	201801170135
429365	57915	76.50624231518037	65.85405156700548	18.414793006852708	83.44175132637528	Stockholm	201801180148
164820	14632	26.754784840211784	76.61159327955862	0.8011823810138896	95.72847764127312	Stockholm	201801190509
887201	13596	63.86906856028385	84.59214396777321	5.829218269875877	65.83214925478222	Stockholm	201801201326
421879	16168	74.34430085466394	61.360411423745845	4.150818724114069	47.14844031976289	Stockholm	201801211420
818315	17561	82.01222380212968	8.860471396967906	4.762933073313926	70.7435692439264	Stockholm	201801221150
427069	83794	63.1938580368545	48.76278096672109	18.168691037587507	60.92991444751781	Stockholm	201801231032
876997	92152	49.79658300860677	7.764933467160507	9.361381084685805	62.48949546099986	Stockholm	201801240721
299041	36734	58.4850012944874	40.75430310324308	9.325988258796375	77.27983744934244	Stockholm	201801250543
891743	16371	76.56115888246771	40.71064891256276	15.211512849105643	83.12308679573215	Stockholm	201801261947
203355	36069	55.08390175799573	6.600984414024158	3.089844080098516	46.63621593238965	Stockholm	201801271743
335796	89905	16.187868298172255	34.88205339694793	9.745307082001016	42.13541384838858	Stockholm	201801281901
314176	22910	81.0283060765024	11.099809879131485	8.599704282421195	99.6598181611429	Stockholm	201801290630
284779	83479	63.6459260742724	80.82352100092221	11.938213810933124	53.96370093493311	Stockholm	201801300817
447449	87735	62.70896377596175	94.76880259644707	19.99115406500877	43.22983149450754	Stockholm	201801310856
521909	91264	29.528610972635637	7.231647525793861	15.388977881640942	51.3925197457552	Stockholm	201802010732
358795	33275	61.43975385675132	95.51152072917014	7.957314060348544	42.33747078090785	Stockholm	201802020447
586232	82274	42.35823720709941	52.25765993367452	16.55106104548094	63.508653677030296	Stockholm	201802031357
600186	91449	60.88877434698743	29.95656779538739	3.414167266249604	88.14410706707946	Stockholm	201802041210
256730	70004	21.674698182175334	7.686207527616351	0.6092737261792025	60.47466698546324	Stockholm	201802051922
970910	72981	61.364861931418595	50.06242680704178	4.088967449285461	66.651004412702	Stockholm	201802061226
484681	94659	85.957788255488	***	6.808231122285193	80.53520641404633	Stockholm	201802071429
249503	64553	17.471266797960034	70.70864772666981	10.211615149191198	70.53364420419281	Stockholm	201802082357
754811	58447	84.35654126393484	5.022601146397376	12.302582810823996	91.68674116127946	Stockholm	201802091544
627035	44529	43.29737317204668	7.290183536790352	18.21211434428844	91.9621405027454	Stockholm	201802100717
748143	85703	76.69424842428266	40.28732826326371	10.197080191009151	40.59464172946922	Stockholm	201802111857
552366	86090	70.33175485219569	29.52904940479433	10.025512892514588	86.68277838899195	Stockholm	201802121441
165725	27260	54.82517079104008	23.238432305604785	1.0048601964596426	67.64401601450044	Stockholm	201802132235
229981	13812	67.1683430660955	28.10044989087136	0.6982310531244762	99.3304324782198	Stockholm	201802140507
184654	38024	77.25312041369705	80.34827432968846	11.02319923832744	68.99392455252611	Stockholm	201802152338
691723	68656	43.09810315887437	**	8.76357226496689	99.21375672329783	Stockholm	201802161117
419030	37285	*	40.510269452756646	16.783607899605972	85.27416167234419	Stockholm	201802171718
428947	11605	62.0667237605781	**	3.213591694236904	54.91629307679838	Stockholm	201802180332
655839	81158	72.1649078197706	32.1495701247882	0.4994332423409919	72.30369875721746	Stockholm	201802190438
373538	82303	68.88452970391634	47.64369863437916	8.980775358602518	99.52813836871496	Stockholm	201802201020
431236	37139	71.44258271782168	22.602899781599973	4.74957113504515	91.45183646511542	Stockholm	201802212220
628178	87149	45.36199866653117	64.0476042175844	0.992287466776749	45.842013627473264	Stockholm	201802221041
665894	66138	72.88406356460155	97.89811151748088	14.49196573695258	82.38231980859976	Stockholm	201802232338
589492	86125	22.65505198668381	60.34930960433786	2.231859999144949	60.73477515224879	Stockholm	201802241532
356840	23918	53.20321505318117	35.78140841135489	12.166390000155436	40.41893571282089	Stockholm	201802250043
573254	95655	14.414623555864758	64.78174459905284	5.620995003337783	64.20885814161997	Stockholm	201802261504
449457	37446	37.37017975281946	12.292067846538757	3.4699210071004405	54.08526530349828	Stockholm	201802271317
765987	23046	40.38523051074065	88.86590802653987	7.595030458386349	89.1321562312283	Stockholm	201802280833
370936	34818	42.524433795866386	50.30839507798363	16.028915524459073	60.23983653074593	Stockholm	201803011124
339931	14324	64.07363888167008	44.93497420396421	7.841871538091453	89.65142163722902	Stockholm	201803020933
339629	86323	41.97618329146489	58.58647884535192	15.015392984221114	40.03587633008772	Stockholm	201803031403
305041	19111	46.30594082882221	62.47838627894025	2.5097259359830137	58.469149001567146	Stockholm	201803041853
798361	48110	31.10317742295158	7.177580622651303	15.455428393301585	54.46991285846572	Stockholm	201803050324
831912	26389	40.87412899731248	68.26172212234025	4.738666498132973	54.01404166411666	Stockholm	201803060812
517113	51427	30.363413162946905	24.19316803155296	13.547862597777456	44.09119718592776	Stockholm	201803070945
168148	89579	19.27010651132794	71.39526325065899	11.315631096819928	51.2274562246301	Stockholm	201803080234
877089	38746	57.44829872345921	82.25347943841967	18.582894344233747	73.33297419313719	Stockholm	201803091947
748531	97886	62.11132149596117	80.39585075525203	7.74645035950628	57.48166437026467	Stockholm	201803100813
351995	10117	**	55.25009674078891	1.323303776688809	65.04368693974888	Stockholm	201803112147
778843	94471	47.37157115364121	52.01698923107512	0.3831097110250581	62.61201282083131	Stockholm	201803120823
672843	23234	41.344576172904546	14.287596133941172	16.53717121945506	92.55429549999369	Stockholm	201803132236
356508	63441	76.16002276917142	77.53461504031355	10.494712753228644	94.31793994063094	Stockholm	201803141214
903591	10846	51.3738885298077	27.14093804467144	15.504881036698986	69.5774182993516	Stockholm	201803150313
996942	20954	48.50109518934063	49.669542281794655	4.688512000230293	59.80935701893627	Stockholm	201803161955
206530	89239	15.84622873806337	28.42740929275167	6.901674910264674	46.40804224014182	Stockholm	201803171938
704365	56514	38.569843589083256	13.382836299969314	0.6020774442263788	97.20417276292572	Stockholm	201803180326
922352	98236	41.37408455258171	62.95576968917366	19.22984649148224	43.61361669401785	Stockholm	201803191625
560337	16469	42.71524022457683	5.433203482290383	13.357358134016268	57.85901665409683	Stockholm	201803200803
824839	40105	55.772410584367925	74.86452341262	18.664101755186124	57.88397207020025	Stockholm	201803210218
905889	52101	52.419383364335246	31.758679526111667	5.309928148581447	59.22407716841289	Stockholm	201803220839
559773	74323	57.769166681128006	0.013469300448532	12.229272224513217	49.85721059634456	Stockholm	201803230606
308261	68067	69.07159483103324	51.11291392372298	13.569999365852755	86.98968585542184	Stockholm	201803240318
864469	59376	72.53497318755873	4.6851908527603126	6.350994005151769	47.34987171795935	Stockholm	201803251119
441097	55587	65.70486148830759	27.616955782089946	16.9621847003126	78.09439954918977	Stockholm	201803260511
415139	46976	82.7977061087553	70.69764874557161	18.943229258004955	47.43076160234905	Stockholm	201803271903
271829	77584	15.312745952698034	6.268962162186586	17.697102353920087	44.2321382555774	Stockholm	201803280146
371836	88477	28.096014969215318	83.93384923560023	14.781339518787451	94.5657702211526	Stockholm	201803292205
538974	52533	14.544526998426232	0.3819922658583108	5.549293594499081	51.40772597912234	Stockholm	201803301752
302283	11828	60.618179419131415	24.682386920190226	5.632320842112635	89.27500927358226	Stockholm	201803312136
296769	11917	78.65819952439907	74.09040561520715	19.26720640892076	72.67785226642815	Stockholm	201804010342
661353	30618	***	31.62701497293068	0.2056899187138405	44.67139117652618	Stockholm	201804021040
323165	42254	80.74648722533408	10.189238806601352	14.32099946484289	97.32689148628404	Stockholm	201804030210
723587	57362	18.33925210084838	36.02339188004279	14.124923251105244	54.81767001951355	Stockholm	201804040108
635822	30128	81.27939392999703	27.039328638452552	12.453790818995948	91.5787207211564	Stockholm	201804052356
587879	69383	39.31683348125368	84.27119021605549	19.80217692173732	50.12860034707385	Stockholm	201804060931
664685	75545	21.30229964834359	31.334791758514317	6.237588715274505	91.23657292851118	Stockholm	201804071034
882038	92180	48.98276666141545	78.89324717760073	6.799437275864964	40.79372877431764	Stockholm	201804081610
453531	97958	32.48791287587657	89.18721448107347	1.578788058931111	70.70682739416884	Stockholm	201804091650
363160	19865	34.510848941258445	43.38174195765296	8.855962730874749	86.1665547652934	Stockholm	201804100301
